"","show_loc","real_loc","lat","long"
"1","Highlands Cabin","Scottish Highlands",56.8,-5
"2","Institute","51.4857202, -0.1204741",51.4857281,-0.1205216
"3","The Tundra","Port of Felixstowe, Suffolk",51.9511949,1.3230373
"4","Police Station","Victoria Embankment, London",51.5096873,-0.118827
"5","Hill Top Road","Cowley, Oxford",51.7313447,-1.2175301
"6","Oxford","Balliol College, Oxford",51.7549499,-1.2578797
"7","Hospital","UPMC Presbyterian Hospital",40.4427264,-79.9606467
"8","Pinhole Books","Morden, London",51.4027615,-0.1947552
"9","Jane's House","Archway, London",51.5654371,-0.1349977
"10","London Stock Exchange","10 Paternoster Sq., London",51.5150281,-0.0990858
"11","Millbank Prison Tunnels","Millbank Prison, Westminster",51.4894891,-0.1274048
"12","Military Hospital","Cambridge Military Hospital, Hampshire England",51.2535065,-0.7590468
"13","Atlantic Ocean","Point Nemo",-49.0260312,-123.438915
"14","Old Fishmarket Close","Old Fishmarket Cl, Edinburgh, UK",55.9497335,-3.1896808
"15","House of Wax in Great Yarmouth","18 Regent Rd, Great Yarmouth",52.6074786,1.7317754
"16","Wakefield Prison","5 Love Ln, Wakefield UK",53.6826934,-1.5915319
"17","Wolfman Trail","Pacific Crest Trail, California",34.3048773,-117.465831
"18","Helen's Taxi","St Albans Ave, Feltham UK",51.4415656,-0.4123476
"19","Butcher's Shop","49 Atlantic Rd, London",51.4618126,-0.1117361
"20","Chiswick Library","1 Duke's Ave, Chiswick, London",51.4904263,-0.260336
